,CRATER_ID,LAT_CIRC_IMG,LON_CIRC_IMG,LAT_ELLI_IMG,LON_ELLI_IMG,DIAM_CIRC_IMG,DIAM_CIRC_SD_IMG,DIAM_ELLI_MAJOR_IMG,DIAM_ELLI_MINOR_IMG,DIAM_ELLI_ECCEN_IMG,DIAM_ELLI_ELLIP_IMG,DIAM_ELLI_ANGLE_IMG,LAT_ELLI_SD_IMG,LON_ELLI_SD_IMG,DIAM_ELLI_MAJOR_SD_IMG,DIAM_ELLI_MINOR_SD_IMG,DIAM_ELLI_ANGLE_SD_IMG,DIAM_ELLI_ECCEN_SD_IMG,DIAM_ELLI_ELLIP_SD_IMG,ARC_IMG,PTS_RIM_IMG
1228073,10-1-084452,-72.2746,279.062,-72.2757,279.057,6.91344,0.104074,7.23492,6.70567,0.375436,1.07893,36.4474,0.000319507,0.00105207,0.0290995,0.0194035,1.84365,0.011337200000000002,0.00534586,0.84149,61
1228094,10-1-084475,-71.1446,280.501,-71.1446,280.501,5.17635,0.0428435,5.20825,5.137490000000001,0.164287,1.01377,46.3983,0.00034027,0.0011427999999999998,0.0251386,0.026391500000000002,18.0253,0.0417477,0.00714594,0.911125,37
1228099,10-1-084482,-71.4129,281.175,-71.4071,281.17400000000004,5.52305,0.144921,5.82071,4.87535,0.546303,1.1939,6.4164699999999995,0.000891796,0.00207667,0.0496972,0.0702006,2.35661,0.021497400000000003,0.0199861,0.740846,42
1228105,10-1-084488,-70.8593,279.682,-70.8623,279.678,5.36111,0.238542,6.19297,4.8160300000000005,0.628685,1.28591,75.1614,0.00108421,0.00194145,0.08034119999999999,0.0465092,2.02368,0.0155572,0.0207967,0.8478950000000001,42
1228106,10-1-084489,-71.2402,278.944,-71.2396,278.95599999999996,7.8006899999999995,0.139596,8.0668,7.3141300000000005,0.421785,1.10291,119.056,0.000325119,0.00149002,0.0244366,0.0362175,1.7281099999999998,0.0113141,0.00640218,0.7965399999999999,59
1228115,10-1-084498,-71.6813,281.124,-71.6817,281.125,5.95025,0.0593342,6.04614,5.81698,0.272702,1.03939,70.984,0.000338146,0.00112781,0.023753299999999998,0.028613599999999996,4.99449,0.021368099999999998,0.006543300000000001,0.8519969999999999,34
1228181,10-1-084585,-67.6859,278.759,-67.6868,278.763,5.83902,0.115851,5.93067,5.63239,0.313148,1.0529600000000001,73.8496,0.0007105519999999999,0.00223977,0.0449986,0.07011410000000001,7.5713,0.0419893,0.0153505,0.788046,45
1228184,10-1-084588,-67.7939,277.901,-67.7937,277.901,5.03647,0.04568680000000001,5.09905,4.95094,0.239275,1.0299200000000002,172.50099999999998,0.000256902,0.00062327,0.0156932,0.0194322,6.00124,0.0196517,0.00513695,0.84075,36
1228187,10-1-084591,-66.9585,277.214,-66.9585,277.214,5.14279,0.0719432,5.23724,5.0451,0.268385,1.03809,23.5333,0.000292151,0.0007505960000000001,0.0221338,0.021465400000000003,5.26851,0.0207352,0.00622536,1.0,59
1228256,10-1-084699,-61.4257,276.096,-61.4285,276.085,5.02681,0.22910300000000003,5.85354,4.66065,0.60502,1.25595,19.1311,0.00172759,0.00448935,0.173572,0.0667647,4.2495400000000005,0.0345061,0.0413602,0.73957,30
1228260,10-1-084704,-60.3768,277.223,-60.3769,277.222,5.29685,0.119112,5.6109,4.9928,0.45627299999999993,1.1238,112.486,0.00038024099999999997,0.000625503,0.025584299999999997,0.024028,2.02356,0.011505,0.00745034,0.8594959999999999,39
1228271,10-1-084718,-60.5476,274.384,-60.5476,274.384,5.75315,0.078165,5.798719999999999,5.7029,0.181043,1.0168,100.61,0.000551438,0.001059,0.0411965,0.0381872,19.2399,0.0521572,0.00992675,1.0,44
1228373,10-1-084961,-70.2407,275.69,-70.2404,275.689,6.02608,0.0759081,6.1878400000000005,5.87027,0.316244,1.0541,115.91799999999999,0.000280695,0.00076569,0.0209248,0.019278999999999998,2.92556,0.013415200000000002,0.00496893,0.9671049999999999,62
1228391,10-1-084996,-71.3882,277.317,-71.3882,277.319,5.11342,0.14360799999999999,5.4362,4.74328,0.488547,1.14608,72.8407,0.000328706,0.00101797,0.0245701,0.0248823,1.6007,0.0107904,0.00793585,0.9050940000000001,42
1228411,10-1-085022,-72.2419,276.132,-72.2416,276.132,6.0284699999999996,0.12288800000000001,6.23884,5.78334,0.37509000000000003,1.07876,10.3063,0.000462668,0.00150827,0.033910699999999995,0.0351936,3.45738,0.0186926,0.00880202,0.9606180000000001,50
1228418,10-1-085030,-72.6082,276.54200000000003,-72.6088,276.54200000000003,5.536230000000001,0.08426339999999999,5.7673,5.34621,0.375093,1.07876,65.1117,0.00042111199999999996,0.000890104,0.0270786,0.0202476,3.03657,0.013819399999999999,0.0065074,0.8009470000000001,40
1228427,10-1-085039,-72.7515,278.362,-72.751,278.36400000000003,7.0437,0.110659,7.25299,6.792860000000001,0.350506,1.06774,138.249,0.000370638,0.00118212,0.025147299999999997,0.0272843,2.74547,0.0132785,0.00566549,0.887569,62
1228437,10-1-085052,-72.7729,276.541,-72.7731,276.547,6.195069999999999,0.129498,6.42296,5.862080000000001,0.408684,1.09568,68.2804,0.0005315000000000001,0.00226618,0.039351699999999996,0.049069800000000004,3.8168800000000003,0.0211428,0.011365799999999999,0.817896,45
1228441,10-1-085059,-72.9518,275.92,-72.9513,275.92,6.36768,0.08565239999999999,6.49533,6.21621,0.28999400000000003,1.0449,170.22099999999998,0.000289033,0.0009310739999999999,0.0207694,0.022374900000000003,3.2762700000000002,0.015206299999999999,0.00503081,0.89838,64
1228442,10-1-085060,-72.7372,275.752,-72.7374,275.755,6.64266,0.14824400000000001,6.995189999999999,6.31959,0.428758,1.10691,106.054,0.000428515,0.00176503,0.0368246,0.0310093,3.1242400000000004,0.013699000000000001,0.00796586,0.624819,51
1228460,10-1-085079,-73.6903,275.811,-73.6899,275.811,5.13214,0.08987780000000001,5.23574,4.99828,0.297745,1.04751,146.625,0.000655208,0.00169112,0.03598780000000001,0.04235440000000001,8.85544,0.0333967,0.0114294,0.821364,40
1228474,10-1-085093,-74.1988,276.572,-74.1969,276.561,6.62905,0.207657,7.21692,6.3019099999999995,0.48733699999999996,1.14519,157.32299999999998,0.000877182,0.00434841,0.10214,0.05553240000000001,3.19183,0.026085400000000005,0.019092599999999998,0.829933,55
1228489,10-1-085108,-74.4372,277.452,-74.4361,277.47,6.08772,0.248038,6.5498400000000006,5.38544,0.569163,1.21621,127.41,0.000519119,0.00259292,0.0401365,0.0494778,1.7590599999999998,0.013117400000000001,0.0134312,0.794193,44
1228511,10-1-085130,-74.1022,278.285,-74.0998,278.29400000000004,6.87304,0.19709200000000002,7.312069999999999,6.30548,0.506333,1.15964,126.87700000000001,0.000867633,0.00203409,0.0420505,0.0517125,2.54754,0.0147109,0.0116156,0.7625430000000001,48
1228557,10-1-085179,-75.1636,279.813,-75.1651,279.79900000000004,5.3935699999999995,0.23402699999999999,5.94258,4.65268,0.6220979999999999,1.27724,75.2195,0.000524439,0.00277085,0.0488088,0.0676658,3.12149,0.016458,0.021332900000000002,0.400064,24
1228561,10-1-085183,-74.839,276.889,-74.8396,276.89099999999996,5.06251,0.11012999999999999,5.22361,4.8390699999999995,0.376581,1.0794700000000002,82.1193,0.0004960580000000001,0.00200171,0.0341966,0.0412393,4.50258,0.0244898,0.0116003,0.8310770000000001,43
1228615,10-1-085247,-75.9416,279.159,-75.893,279.567,13.0989,0.330092,22.1929,13.4629,0.794985,1.64845,24.549,0.00776506,0.06753089999999999,1.30061,0.14973699999999998,0.7464529999999999,0.027612400000000002,0.0983317,0.435116,61
1228626,10-1-085260,-77.0842,280.927,-77.0841,280.927,5.2453199999999995,0.124848,5.53012,4.97561,0.43645,1.11145,103.211,0.00032881,0.00134913,0.0248196,0.022315599999999998,1.9421,0.011768299999999999,0.00705204,0.9582299999999999,61
1228707,10-1-085359,-78.2361,280.04900000000004,-78.2368,280.053,6.56248,0.151948,7.06263,6.16744,0.487271,1.14515,116.861,0.00048775699999999996,0.00158115,0.0315971,0.0244144,1.6840400000000002,0.00934877,0.00684082,0.833752,50
1228723,10-1-085376,-78.057,281.067,-78.0368,281.154,6.78251,0.305747,7.58845,5.1416900000000005,0.73546,1.47587,109.59,0.00211968,0.00482156,0.12255999999999999,0.101854,2.01213,0.0159547,0.0377217,0.409173,26
1228726,10-1-085380,-78.3525,279.712,-78.3676,279.697,6.83507,0.182093,7.09028,5.43709,0.641841,1.30406,168.38099999999997,0.00100878,0.00319131,0.0412039,0.0940442,1.39896,0.0167174,0.023795,0.480126,35
1228768,10-1-085428,-77.6787,281.041,-77.6792,281.043,5.1759900000000005,0.135638,5.626469999999999,4.79211,0.524017,1.17411,108.331,0.000390145,0.00191255,0.0300632,0.0237739,1.74393,0.0100933,0.00856067,0.812177,43
1228891,10-1-085599,-79.3904,281.147,-79.3928,281.14599999999996,5.4586,0.07162589999999999,6.05154,5.34109,0.470125,1.1330200000000001,89.1914,0.000830126,0.00156774,0.11636600000000001,0.020659999999999998,2.79379,0.0325004,0.0222234,0.429767,30
1228943,10-1-085682,-80.5897,282.223,-80.595,282.224,8.52588,0.258131,9.28801,8.06428,0.496133,1.15175,111.022,0.00101756,0.00299334,0.06976639999999999,0.0364875,1.9761900000000001,0.013324,0.0100996,0.806286,73
1228971,10-1-085722,-81.1395,282.732,-81.1377,282.737,6.67322,0.137034,6.86021,6.586989999999999,0.279406,1.04148,74.1416,0.00137984,0.00650918,0.108578,0.0509148,12.0835,0.0581187,0.0183444,0.75157,50
1228983,10-1-085737,-81.6135,283.163,-81.6123,283.16,6.6245199999999995,0.119248,6.78673,6.11341,0.43425600000000003,1.11014,62.1859,0.000948449,0.00611334,0.038136,0.0729766,4.4685,0.024652599999999997,0.014646700000000002,0.504613,37
1228988,10-1-085742,-82.0269,283.04200000000003,-82.02799999999999,283.048,5.58277,0.145733,5.8867400000000005,5.19667,0.469796,1.13279,44.1555,0.00044958199999999997,0.0031189,0.032266500000000004,0.034618699999999995,2.12187,0.01431,0.00977239,0.880108,54
